BloodRealm Battlegrounds,1.63
Bloodbath Kavkaz,4.9
Bloodline Champions,12.1
Bloodwood Reload,0.2
Bloody Good Time,9.53
Bloody Trapland,1.41
Bloons TD5,21.2
Blue Rose,3.2
Blur,7.14
Bob Came in Pieces,0.57
Bob Was Hungry,6.5
Boid,8.9
Boo Bunny Plague,2.3
BookWorm Adventures Volume 2,60.25
BookWorm Deluxe,6.9
Bookworm Adventures Deluxe,18.73
Booster Trooper,0.7
Borderlands,32.48
Borderlands 2,58.73
Borderlands 2 RU,48.06
Borderlands The Pre-Sequel,37.53
Borderless Gaming,13.1
Borealis,1.83
Boring Man - Online Tactical Stickman Combat,3.64
Boson X,4.7
Botanicula,3.08
Bound By Flame,12.24
Braid,2.89
Brawlhalla,7.06
Breach,4.27
Breach & Clear,1.9
Break Into Zatwor,1.67
Breath of Death VII,1.01
Breezeblox,48.0
Brick-Force,1.23
Bridge Constructor,3.52
Bridge Constructor Medieval,1.7
Bridge It (plus),1.3
Bridge Project,1.46
Brilliant Bob,6.95
Broforce,26.48
Broken Age,9.83
Broken Sword 1 - Shadow of the Templars Director's Cut,5.44
Broken Sword 2 - the Smoking Mirror Remastered,5.7
Broken Sword 3 - the Sleeping Dragon,0.4
Broken Sword 4 - the Angel of Death,21.0
Broken Sword 5 - the Serpent's Curse,14.3
Brothers - A Tale of Two Sons,2.39
Brothers in Arms Hell's Highway,5.55
Brothers in Arms Road to Hill 30,8.25
Brtal Legend,6.06
Buccaneer The Pursuit of Infamy,7.2
Build-A-Lot,8.9
Build-A-Lot 2,5.2
Build-A-Lot 4,97.0
Bullet Heaven 2,5.3
Bulletstorm,13.03
Bully Scholarship Edition,10.23
Bunch Of Heroes,0.8
Burgers,8.3
Burn Zombie Burn,1.8
Burnout Paradise The Ultimate Box,5.73
Burstfire,1.65
Bus Driver,0.22
Bus-Simulator 2012,3.2
Buzz Aldrin's Space Program Manager,4.5
C9,0.45
CAFE 0 ~The Drowned Mermaid~,3.0
CID The Dummy,4.4
CRYENGINE,0.1
CRYPTARK,0.7
Cabela's African Adventures,0.7
Cabela's Big Game Hunter Pro Hunts,6.7
Cabela's Dangerous Hunts 2013,0.8
Cabela's Hunting Expeditions,3.5
Cabelas Trophy Bucks,3.4
CaesarIA,0.6
Call of Cthulhu Dark Corners of the Earth,12.2
