Spectraball,7.5
Special Forces Team X,1.0
Spec Ops The Line,15.87
Spartans Vs Zombies Defense,0.57
Sparkle 2 Evo,1.61
Spacebase DF-9,8.99
SpaceForce Rogue Universe,5.5
SpaceChem,8.55
Space Warp,0.1
Space Trader Merchant Marine,1.87
Space Siege,0.2
Space Run,4.58
Space Rangers HD A War Apart,13.12
Space Quest Collection,8.0
Space Pirates and Zombies,30.81
Space Hulk Ascension,10.15
Space Hulk,7.93
Space Hack,0.27
Space Farmers,2.42
Space Engineers,43.8
Space Empires V,1.9
Space Empires IV Deluxe,10.67
Space Colony,12.0
Space Channel 5 Part 2,1.05
Space Ace,0.85
South Park The Stick of Truth,16.81
Source Filmmaker,13.66
Soul Gambler,17.17
Sorcerer King,22.7
Sonic and SEGA All Stars Racing,0.4
Sonic Generations,21.38
Sonic CD,1.83
Sonic Adventure DX,0.92
Sonic Adventure 2,5.86
Sonic & All-Stars Racing Transformed,5.79
Song of the Myrne What Lies Beneath,1.7
Sometimes Success Requires Sacrifice,12.95
Solstice Arena,1.9
Soldier Front 2,7.27
Solar Flux,1.0
Solar 2,4.97
SolForge,3.25
Sol Survivor,4.57
Sokobond,0.7
Software Inc.,13.86
Soccer Manager 2016,2.33
Soccer Manager 2015,5.46
Snuggle Truck,0.54
Sniper Ghost Warrior 2,6.7
Sniper Ghost Warrior,13.35
Sniper Elite Zombie Army 2,0.4
Sniper Elite Zombie Army,0.8
Sniper Elite V2,10.43
Sniper Elite Nazi Zombie Army 2,4.22
Sniper Elite Nazi Zombie Army,5.24
Sniper Elite 3,21.11
Sniper Elite,26.71
Snapshot,0.4
Smooth Operators,2.5
Smashmuck Champions,1.79
Smashball,1.64
Small World 2,5.42
Slip,0.1
Slender The Arrival,2.85
Sleeping Dogs Definitive Edition,12.78
Sleeping Dogs,23.13
SlamIt Pinball Big Score,0.7
Slam Bolt Scrappers,0.65
Skyward Collapse,16.7
Skyscraper Simulator,13.6
Skyborn,3.47
SkyDrift,2.24
Sky Nations,14.6
Skulls of the Shogun,9.38
Skullgirls Endless Beta,6.7
Skullgirls,9.53
Ski Region Simulator,5.7
Skara - The Blade Remains,2.4
Sir You Are Being Hunted,2.48
Sins of a Solar Empire Trinity,15.91
Sins of a Solar Empire Rebellion,30.43
Sins of a Dark Age,2.55
Sinister City,3.32
Singularity,10.14
